Location,Year,Area,Price
Sector 63,2019,1050,4524863.61
Sector 63,2018,1050,4309393.92
Sector 63,2017,1050,4104184.68
Sector 63,2016,1050,3908747.32
Sector 63,2015,1050,3722616.49
Sector 63,2014,1050,3545349.04
New chandigarh mohali,2023,2700,7500000.0
New chandigarh mohali,2022,2700,7142857.14
New chandigarh mohali,2021,2700,6802721.09
New chandigarh mohali,2020,2700,6478781.99
New chandigarh mohali,2019,2700,6170268.56
New chandigarh mohali,2018,2700,5876446.25
New chandigarh mohali,2017,2700,5596615.47
New chandigarh mohali,2016,2700,5330109.98
New chandigarh mohali,2015,2700,5076295.22
New chandigarh mohali,2014,2700,4834566.87
Dhakoli,2023,1755,6900000.0
Dhakoli,2022,1755,6571428.57
Dhakoli,2021,1755,6258503.4
Dhakoli,2020,1755,5960479.43
Dhakoli,2019,1755,5676647.08
Dhakoli,2018,1755,5406330.55
Dhakoli,2017,1755,5148886.24
Dhakoli,2016,1755,4903701.18
Dhakoli,2015,1755,4670191.6
Dhakoli,2014,1755,4447801.52
New chandigarh mohali,2023,1640,6500000.0
New chandigarh mohali,2022,1640,6190476.19
New chandigarh mohali,2021,1640,5895691.61
New chandigarh mohali,2020,1640,5614944.39
New chandigarh mohali,2019,1640,5347566.09
New chandigarh mohali,2018,1640,5092920.08
New chandigarh mohali,2017,1640,4850400.08
New chandigarh mohali,2016,1640,4619428.65
New chandigarh mohali,2015,1640,4399455.85
New chandigarh mohali,2014,1640,4189957.96
Sector 51,2023,1100,13500000.0
Sector 51,2022,1100,12857142.86
Sector 51,2021,1100,12244897.96
Sector 51,2020,1100,11661807.58
Sector 51,2019,1100,11106483.41
Sector 51,2018,1100,10577603.25
Sector 51,2017,1100,10073907.85
Sector 51,2016,1100,9594197.96
Sector 51,2015,1100,9137331.39
Sector 51,2014,1100,8702220.37
Sector 60,2023,1100,7500000.0
Sector 60,2022,1100,7142857.14
Sector 60,2021,1100,6802721.09
Sector 60,2020,1100,6478781.99
Sector 60,2019,1100,6170268.56
Sector 60,2018,1100,5876446.25
Sector 60,2017,1100,5596615.47
Sector 60,2016,1100,5330109.98
Sector 60,2015,1100,5076295.22
Sector 60,2014,1100,4834566.87
New chandigarh mohali,2023,4093,27500000.0
New chandigarh mohali,2022,4093,26190476.19
New chandigarh mohali,2021,4093,24943310.66
New chandigarh mohali,2020,4093,23755533.96
New chandigarh mohali,2019,4093,22624318.06
New chandigarh mohali,2018,4093,21546969.58
New chandigarh mohali,2017,4093,20520923.41
New chandigarh mohali,2016,4093,19543736.58
New chandigarh mohali,2015,4093,18613082.46
New chandigarh mohali,2014,4093,17726745.2
Sector 78,2023,1125,8000000.0
Sector 78,2022,1125,7619047.62
Sector 78,2021,1125,7256235.83
Sector 78,2020,1125,6910700.79
Sector 78,2019,1125,6581619.8
Sector 78,2018,1125,6268209.33
Sector 78,2017,1125,5969723.17
Sector 78,2016,1125,5685450.64
Sector 78,2015,1125,5414714.9
Sector 78,2014,1125,5156871.33
New chandigarh mohali,2023,1560,9500000.0
New chandigarh mohali,2022,1560,9047619.05
New chandigarh mohali,2021,1560,8616780.05
New chandigarh mohali,2020,1560,8206457.19
New chandigarh mohali,2019,1560,7815673.51
New chandigarh mohali,2018,1560,7443498.58
New chandigarh mohali,2017,1560,7089046.27
New chandigarh mohali,2016,1560,6751472.64
New chandigarh mohali,2015,1560,6429973.94
New chandigarh mohali,2014,1560,6123784.7
Dhakoli,2023,900,2750000.0
Dhakoli,2022,900,2619047.62
Dhakoli,2021,900,2494331.07
Dhakoli,2020,900,2375553.4
Dhakoli,2019,900,2262431.81
Dhakoli,2018,900,2154696.96
Dhakoli,2017,900,2052092.34
Dhakoli,2016,900,1954373.66
Dhakoli,2015,900,1861308.25
Dhakoli,2014,900,1772674.52
Dhakoli,2023,990,3555000.0
Dhakoli,2022,990,3385714.29
Dhakoli,2021,990,3224489.8
Dhakoli,2020,990,3070942.66
Dhakoli,2019,990,2924707.3
Dhakoli,2018,990,2785435.52
Dhakoli,2017,990,2652795.74
Dhakoli,2016,990,2526472.13
Dhakoli,2015,990,2406163.93
Dhakoli,2014,990,2291584.7
Sector 79,2023,1800,10500000.0
Sector 79,2022,1800,10000000.0
Sector 79,2021,1800,9523809.52
Sector 79,2020,1800,9070294.78
Sector 79,2019,1800,8638375.99
Sector 79,2018,1800,8227024.75
Sector 79,2017,1800,7835261.66
Sector 79,2016,1800,7462153.97
Sector 79,2015,1800,7106813.3
Sector 79,2014,1800,6768393.62
Sunny Enclave,2023,1080,3490000.0
Sunny Enclave,2022,1080,3323809.52
Sunny Enclave,2021,1080,3165532.88
Sunny Enclave,2020,1080,3014793.22
Sunny Enclave,2019,1080,2871231.64
Sunny Enclave,2018,1080,2734506.32
Sunny Enclave,2017,1080,2604291.73
Sunny Enclave,2016,1080,2480277.84
Sunny Enclave,2015,1080,2362169.37
Sunny Enclave,2014,1080,2249685.12
Dhakoli,2023,1358,3800000.0
Dhakoli,2022,1358,3619047.62
Dhakoli,2021,1358,3446712.02
Dhakoli,2020,1358,3282582.87
Dhakoli,2019,1358,3126269.4
Dhakoli,2018,1358,2977399.43
Dhakoli,2017,1358,2835618.51
Dhakoli,2016,1358,2700589.05
Dhakoli,2015,1358,2571989.58
Dhakoli,2014,1358,2449513.88
Dhakoli,2023,900,3190000.0
Dhakoli,2022,900,3038095.24
Dhakoli,2021,900,2893424.04
Dhakoli,2020,900,2755641.94
Dhakoli,2019,900,2624420.89
Dhakoli,2018,900,2499448.47
Dhakoli,2017,900,2380427.12
Dhakoli,2016,900,2267073.44
Dhakoli,2015,900,2159117.56
Dhakoli,2014,900,2056302.44
Dhakoli,2023,1125,4200000.0
Dhakoli,2022,1125,4000000.0
Dhakoli,2021,1125,3809523.81
Dhakoli,2020,1125,3628117.91
Dhakoli,2019,1125,3455350.39
Dhakoli,2018,1125,3290809.9
Dhakoli,2017,1125,3134104.67
Dhakoli,2016,1125,2984861.59
Dhakoli,2015,1125,2842725.32
Dhakoli,2014,1125,2707357.45
New chandigarh mohali,2023,1415,7950100.0
New chandigarh mohali,2022,1415,7571523.81
New chandigarh mohali,2021,1415,7210975.06
New chandigarh mohali,2020,1415,6867595.29
New chandigarh mohali,2019,1415,6540566.94
New chandigarh mohali,2018,1415,6229111.38
New chandigarh mohali,2017,1415,5932487.02
New chandigarh mohali,2016,1415,5649987.64
New chandigarh mohali,2015,1415,5380940.61
New chandigarh mohali,2014,1415,5124705.34
Sector 35,2023,1575,12000000.0
Sector 35,2022,1575,11428571.43
Sector 35,2021,1575,10884353.74
Sector 35,2020,1575,10366051.18
Sector 35,2019,1575,9872429.7
Sector 35,2018,1575,9402314.0
Sector 35,2017,1575,8954584.76
Sector 35,2016,1575,8528175.96
Sector 35,2015,1575,8122072.34
Sector 35,2014,1575,7735306.99
Sunny Enclave,2023,600,1690000.0
Sunny Enclave,2022,600,1609523.81
Sunny Enclave,2021,600,1532879.82
Sunny Enclave,2020,600,1459885.54
Sunny Enclave,2019,600,1390367.18
Sunny Enclave,2018,600,1324159.22
Sunny Enclave,2017,600,1261104.02
Sunny Enclave,2016,600,1201051.45
Sunny Enclave,2015,600,1143858.52
Sunny Enclave,2014,600,1089389.07
Sector 16,2023,9000,100000000.0
Sector 16,2022,9000,95238095.24
Sector 16,2021,9000,90702947.85
Sector 16,2020,9000,86383759.85
Sector 16,2019,9000,82270247.48
Sector 16,2018,9000,78352616.65
Sector 16,2017,9000,74621539.66
Sector 16,2016,9000,71068133.01
Sector 16,2015,9000,67683936.2
Sector 16,2014,9000,64460891.62
Lohgarh,2023,1350,6200000.0
Lohgarh,2022,1350,5904761.9
Lohgarh,2021,1350,5623582.77
Lohgarh,2020,1350,5355793.11
Lohgarh,2019,1350,5100755.34
Lohgarh,2018,1350,4857862.23
Lohgarh,2017,1350,4626535.46
Lohgarh,2016,1350,4406224.25
Lohgarh,2015,1350,4196404.04
Lohgarh,2014,1350,3996575.28
Sector 34,2023,3250,32500000.0
Sector 34,2022,3250,30952380.95
Sector 34,2021,3250,29478458.05
Sector 34,2020,3250,28074721.95
Sector 34,2019,3250,26737830.43
Sector 34,2018,3250,25464600.41
Sector 34,2017,3250,24252000.39
Sector 34,2016,3250,23097143.23
Sector 34,2015,3250,21997279.27
Sector 34,2014,3250,20949789.78
New chandigarh mohali,2023,1596,9505000.0
New chandigarh mohali,2022,1596,9052380.95
New chandigarh mohali,2021,1596,8621315.19
New chandigarh mohali,2020,1596,8210776.37
New chandigarh mohali,2019,1596,7819787.02
New chandigarh mohali,2018,1596,7447416.21
New chandigarh mohali,2017,1596,7092777.35
New chandigarh mohali,2016,1596,6755026.04
New chandigarh mohali,2015,1596,6433358.14
New chandigarh mohali,2014,1596,6127007.75
Sector 19,2023,3000,51000000.0
Sector 19,2022,3000,48571428.57
Sector 19,2021,3000,46258503.4
Sector 19,2020,3000,44055717.53
Sector 19,2019,3000,41957826.21
Sector 19,2018,3000,39959834.49
Sector 19,2017,3000,38056985.23
Sector 19,2016,3000,36244747.84
Sector 19,2015,3000,34518807.46
Sector 19,2014,3000,32875054.73
Gazipur,2023,1450,3900000.0
Gazipur,2022,1450,3714285.71
Gazipur,2021,1450,3537414.97
Gazipur,2020,1450,3368966.63
Gazipur,2019,1450,3208539.65
Gazipur,2018,1450,3055752.05
Gazipur,2017,1450,2910240.05
Gazipur,2016,1450,2771657.19
Gazipur,2015,1450,2639673.51
Gazipur,2014,1450,2513974.77
Lohgarh,2023,1800,6200000.0
Lohgarh,2022,1800,5904761.9
Lohgarh,2021,1800,5623582.77
Lohgarh,2020,1800,5355793.11
Lohgarh,2019,1800,5100755.34
Lohgarh,2018,1800,4857862.23
Lohgarh,2017,1800,4626535.46
Lohgarh,2016,1800,4406224.25
Lohgarh,2015,1800,4196404.04
Lohgarh,2014,1800,3996575.28
Sector 60,2023,2250,16000000.0
Sector 60,2022,2250,15238095.24
Sector 60,2021,2250,14512471.66
Sector 60,2020,2250,13821401.58
Sector 60,2019,2250,13163239.6
Sector 60,2018,2250,12536418.66
Sector 60,2017,2250,11939446.35
Sector 60,2016,2250,11370901.28
Sector 60,2015,2250,10829429.79
Sector 60,2014,2250,10313742.66
Sunny Enclave,2023,1350,4299000.0
Sunny Enclave,2022,1350,4094285.71
Sunny Enclave,2021,1350,3899319.73
Sunny Enclave,2020,1350,3713637.84
Sunny Enclave,2019,1350,3536797.94
Sunny Enclave,2018,1350,3368378.99
Sunny Enclave,2017,1350,3207979.99
Sunny Enclave,2016,1350,3055219.04
Sunny Enclave,2015,1350,2909732.42
Sunny Enclave,2014,1350,2771173.73
Sector 49,2023,1200,31900000.0
Sector 49,2022,1200,30380952.38
Sector 49,2021,1200,28934240.36
Sector 49,2020,1200,27556419.39
Sector 49,2019,1200,26244208.95
Sector 49,2018,1200,24994484.71
Sector 49,2017,1200,23804271.15
Sector 49,2016,1200,22670734.43
Sector 49,2015,1200,21591175.65
Sector 49,2014,1200,20563024.43
Sector 78,2023,1440,9000000.0
Sector 78,2022,1440,8571428.57
Sector 78,2021,1440,8163265.31
Sector 78,2020,1440,7774538.39
Sector 78,2019,1440,7404322.27
Sector 78,2018,1440,7051735.5
Sector 78,2017,1440,6715938.57
Sector 78,2016,1440,6396131.97
Sector 78,2015,1440,6091554.26
Sector 78,2014,1440,5801480.25
Dhakoli,2023,2079,7900000.0
Dhakoli,2022,2079,7523809.52
Dhakoli,2021,2079,7165532.88
Dhakoli,2020,2079,6824317.03
Dhakoli,2019,2079,6499349.55
Dhakoli,2018,2079,6189856.72
Dhakoli,2017,2079,5895101.63
Dhakoli,2016,2079,5614382.51
Dhakoli,2015,2079,5347030.96
Dhakoli,2014,2079,5092410.44
New chandigarh mohali,2023,1640,6499320.0
New chandigarh mohali,2022,1640,6189828.57
New chandigarh mohali,2021,1640,5895074.83
New chandigarh mohali,2020,1640,5614356.98
New chandigarh mohali,2019,1640,5347006.65
New chandigarh mohali,2018,1640,5092387.28
New chandigarh mohali,2017,1640,4849892.65
New chandigarh mohali,2016,1640,4618945.38
New chandigarh mohali,2015,1640,4398995.6
New chandigarh mohali,2014,1640,4189519.62
Dhakoli,2023,1080,3200000.0
Dhakoli,2022,1080,3047619.05
Dhakoli,2021,1080,2902494.33
Dhakoli,2020,1080,2764280.32
Dhakoli,2019,1080,2632647.92
Dhakoli,2018,1080,2507283.73
Dhakoli,2017,1080,2387889.27
Dhakoli,2016,1080,2274180.26
Dhakoli,2015,1080,2165885.96
Dhakoli,2014,1080,2062748.53
Dhakoli,2023,855,2790000.0
Dhakoli,2022,855,2657142.86
Dhakoli,2021,855,2530612.24
Dhakoli,2020,855,2410106.9
Dhakoli,2019,855,2295339.9
Dhakoli,2018,855,2186038.0
Dhakoli,2017,855,2081940.96
Dhakoli,2016,855,1982800.91
Dhakoli,2015,855,1888381.82
Dhakoli,2014,855,1798458.88
Sector 22,2023,1400,11000000.0
Sector 22,2022,1400,10476190.48
Sector 22,2021,1400,9977324.26
Sector 22,2020,1400,9502213.58
Sector 22,2019,1400,9049727.22
Sector 22,2018,1400,8618787.83
Sector 22,2017,1400,8208369.36
Sector 22,2016,1400,7817494.63
Sector 22,2015,1400,7445232.98
Sector 22,2014,1400,7090698.08
Dhakoli,2023,1044,3950000.0
Dhakoli,2022,1044,3761904.76
Dhakoli,2021,1044,3582766.44
Dhakoli,2020,1044,3412158.51
Dhakoli,2019,1044,3249674.78
Dhakoli,2018,1044,3094928.36
Dhakoli,2017,1044,2947550.82
Dhakoli,2016,1044,2807191.25
Dhakoli,2015,1044,2673515.48
Dhakoli,2014,1044,2546205.22
Dhakoli,2023,1640,7890000.0
Dhakoli,2022,1640,7514285.71
Dhakoli,2021,1640,7156462.59
Dhakoli,2020,1640,6815678.65
Dhakoli,2019,1640,6491122.53
Dhakoli,2018,1640,6182021.45
Dhakoli,2017,1640,5887639.48
Dhakoli,2016,1640,5607275.69
Dhakoli,2015,1640,5340262.57
Dhakoli,2014,1640,5085964.35
Sector 34,2023,2250,23600000.0
Sector 34,2022,2250,22476190.48
Sector 34,2021,2250,21405895.69
Sector 34,2020,2250,20386567.33
Sector 34,2019,2250,19415778.41
Sector 34,2018,2250,18491217.53
Sector 34,2017,2250,17610683.36
Sector 34,2016,2250,16772079.39
Sector 34,2015,2250,15973408.94
Sector 34,2014,2250,15212770.42
Sector 21,2023,5400,42500000.0
Sector 21,2022,5400,40476190.48
Sector 21,2021,5400,38548752.83
Sector 21,2020,5400,36713097.94
Sector 21,2019,5400,34964855.18
Sector 21,2018,5400,33299862.07
Sector 21,2017,5400,31714154.36
Sector 21,2016,5400,30203956.53
Sector 21,2015,5400,28765672.89
Sector 21,2014,5400,27395878.94
Sector 69,2023,4500,25000000.0
Sector 69,2022,4500,23809523.81
Sector 69,2021,4500,22675736.96
Sector 69,2020,4500,21595939.96
Sector 69,2019,4500,20567561.87
Sector 69,2018,4500,19588154.16
Sector 69,2017,4500,18655384.92
Sector 69,2016,4500,17767033.25
Sector 69,2015,4500,16920984.05
Sector 69,2014,4500,16115222.91
Lohgarh,2023,1325,4750000.0
Lohgarh,2022,1325,4523809.52
Lohgarh,2021,1325,4308390.02
Lohgarh,2020,1325,4103228.59
Lohgarh,2019,1325,3907836.76
Lohgarh,2018,1325,3721749.29
Lohgarh,2017,1325,3544523.13
Lohgarh,2016,1325,3375736.32
Lohgarh,2015,1325,3214986.97
Lohgarh,2014,1325,3061892.35
Togan,2023,2250,7500000.0
Togan,2022,2250,7142857.14
Togan,2021,2250,6802721.09
Togan,2020,2250,6478781.99
Togan,2019,2250,6170268.56
Togan,2018,2250,5876446.25
Togan,2017,2250,5596615.47
Togan,2016,2250,5330109.98
Togan,2015,2250,5076295.22
Togan,2014,2250,4834566.87
Sector 59,2023,2250,12500000.0
Sector 59,2022,2250,11904761.9
Sector 59,2021,2250,11337868.48
Sector 59,2020,2250,10797969.98
Sector 59,2019,2250,10283780.93
Sector 59,2018,2250,9794077.08
Sector 59,2017,2250,9327692.46
Sector 59,2016,2250,8883516.63
Sector 59,2015,2250,8460492.03
Sector 59,2014,2250,8057611.45
Sunny Enclave,2023,1035,3090000.0
Sunny Enclave,2022,1035,2942857.14
Sunny Enclave,2021,1035,2802721.09
Sunny Enclave,2020,1035,2669258.18
Sunny Enclave,2019,1035,2542150.65
Sunny Enclave,2018,1035,2421095.85
Sunny Enclave,2017,1035,2305805.58
Sunny Enclave,2016,1035,2196005.31
Sunny Enclave,2015,1035,2091433.63
Sunny Enclave,2014,1035,1991841.55
Dhakoli,2023,1300,3600000.0
Dhakoli,2022,1300,3428571.43
Dhakoli,2021,1300,3265306.12
Dhakoli,2020,1300,3109815.35
Dhakoli,2019,1300,2961728.91
Dhakoli,2018,1300,2820694.2
Dhakoli,2017,1300,2686375.43
Dhakoli,2016,1300,2558452.79
Dhakoli,2015,1300,2436621.7
Dhakoli,2014,1300,2320592.1
Dhakoli,2023,1200,3090000.0
